Index,FirstBlock,StateAfterFirst,SecondBlock,StateAfterSecond,Codeword
0,000,000,010,0,000010
1,000,000,011,11,000011
2,000,000,100,00,000100
3,000,000,101,1,000101
4,000,000,110,0,000110
5,000,000,111,111,000111
6,001,1,000,000,001000
7,001,1,001,1,001001
8,001,1,010,0,001010
9,001,1,011,11,001011
10,001,1,100,00,001100
11,001,1,101,1,001101
12,001,1,110,0,001110
13,001,1,111,1111,001111
14,010,0,000,0000,010000
15,010,0,001,1,010001
16,010,0,010,0,010010
17,010,0,011,11,010011
18,010,0,100,00,010100
19,010,0,101,1,010101
20,010,0,110,0,010110
21,010,0,111,111,010111
22,011,11,000,000,011000
23,011,11,001,1,011001
24,011,11,010,0,011010
25,011,11,011,11,011011
26,011,11,100,00,011100
27,011,11,101,1,011101
28,011,11,110,0,011110
29,100,00,001,1,100001
30,100,00,010,0,100010
31,100,00,011,11,100011
